CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Atlanta-Sandy Springs-Roswell, GA",12060,2024,306,109,183,13,1,0,0,161,84,55,1,3,123,179,0,"Atlanta-Sandy Springs-Roswell, GA Metro Area",86338,0.4677,6176937,12060,12060,0.10786333096808337,0.026420861990335987,0.9922215492889113,0.13088687807565466,0.3692359174134365
"Atlantic City-Hammonton, NJ",12100,2024,182,160,22,0,0,0,0,66,52,33,0,0,99,83,0,"Atlantic City-Hammonton, NJ Metro Area",80600,0.4732,369940,12100,12100,0.1173595718224577,0.03861166675677137,0.9889603719522084,0.20570903389738876,0.41379953505973943
"Augusta-Richmond County, GA-SC",12260,2024,274,134,139,1,0,0,0,105,67,51,0,0,91,183,0,"Augusta-Richmond County, GA-SC Metro Area",66628,0.4659,618022,12260,12260,0.14524240237402553,0.02827407438570148,0.9671063489649235,0.16531773949794668,0.3650209863079308
"Augusta-Waterville, ME",12300,2024,305,254,51,0,0,0,0,77,53,36,0,0,139,166,0,"Augusta-Waterville, ME Micro Area",65062,0.4379,125614,12300,12300,0.11916665339850653,0.02042765933733501,0.9856066998901396,0.20743706911649976,0.42937889088795833
"Austin-Round Rock, TX",12420,2024,183,61,120,2,0,0,0,123,77,54,1,0,42,138,2,"Austin-Round Rock-San Marcos, TX Metro Area",97638,0.4607,2357497,12420,12420,0.09750341145715137,0.024388154046431448,0.9921064586720577,0.096865870879157,0.40239669446026866
"Bakersfield, CA",12540,2024,274,74,184,15,1,0,0,156,91,61,0,0,120,105,49,"Bakersfield-Delano, CA Metro Area",67660,0.4645,910433,12540,12540,0.18543374416349143,0.03630030985256466,0.9756116045881466,0.14847660398953025,0.3091012737895045
"Baltimore-Columbia-Towson, MD",12580,2024,305,184,110,10,1,0,0,154,80,46,0,2,220,83,0,"Baltimore-Columbia-Towson, MD Metro Area",97300,0.461,2839409,12580,12580,0.09669970053627357,0.024722398217375516,0.9850056825205527,0.14215951277184793,0.3901593606275109
"Bangor, ME",12620,2024,271,245,26,0,0,0,0,74,49,35,0,0,185,83,3,"Bangor, ME Metro Area",63248,0.4541,153571,12620,12620,0.12923012808407838,0.020674476300864095,0.9871720572243458,0.19605264014690274,0.42175280489154854
"Baraboo, WI",12660,2024,182,157,25,0,0,0,0,66,53,38,0,0,89,93,0,"Baraboo, WI Micro Area",77648,0.4094,65759,12660,12660,0.0865280798065664,0.014127343785641509,0.9913167779315379,0.20149333171124864,0.41705317903252787
"Barnstable Town, MA",12700,2024,235,217,17,1,0,0,0,101,48,38,0,0,233,2,0,"Barnstable Town, MA Metro Area",94452,0.4749,230073,12700,12700,0.07349406492721876,0.023870684521869145,0.9889730650706515,0.14942213992950062,0.44760141346442217
