CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code,Percentage of People in Poverty,Percentage of Unemployed People,Percentage of People with Health Insurance Coverage,Percentage of People With Educational Attainment (HS+),Percentage of People With Internet Access
"Clinton, IA",17540,2024,304,192,112,0,0,0,0,90,60,46,0,0,141,163,0,"Clinton, IA Micro Area",65177,0.4375,46383,17540,17540,0.12853847314748937,0.018649074014186234,0.9871289049867409,0.21337559019468338,0.41898971605976326
"Coeur d'Alene, ID",17660,2024,173,173,0,0,0,0,0,48,31,17,0,0,0,173,0,"Coeur d'Alene, ID Metro Area",77034,0.427,177736,17660,17660,0.09135459332943241,0.015776207408741055,0.9916336589098438,0.1481354368276545,0.38880136832155554
"College Station-Bryan, TX",17780,2024,172,102,69,1,0,0,0,102,63,40,0,0,0,172,0,"College Station-Bryan, TX Metro Area",59691,0.5113,273280,17780,17780,0.21075087822014052,0.023898565573770493,0.9841151932084309,0.10691598360655738,0.37560011709601876
"Colorado Springs, CO",17820,2024,274,141,119,12,2,0,0,166,84,50,0,0,224,50,0,"Colorado Springs, CO Metro Area",87180,0.4284,760782,17820,17820,0.08260973577187683,0.026834231093795593,0.9487264420030969,0.10558872318219936,0.38700573883188616
"Columbia, MO",17860,2024,125,116,9,0,0,0,0,74,49,41,0,0,125,0,0,"Columbia, MO Metro Area",69463,0.4689,212850,17860,17860,0.15537232793046746,0.020220812778952314,0.987066008926474,0.11621329574817947,0.3980361757105943
"Columbia, SC",17900,2024,274,151,122,1,0,0,0,141,63,47,0,1,85,188,0,"Columbia, SC Metro Area",66146,0.4674,839868,17900,17900,0.1413567370110541,0.027473364862097376,0.9702334176322946,0.14237475412802963,0.3981316111579439
"Columbus, GA-AL",17980,2024,274,149,118,7,0,0,0,127,66,49,0,0,57,217,0,"Columbus, GA-AL Metro Area",57762,0.4859,326136,17980,17980,0.1757303701523291,0.026820099590354946,0.9422265557926754,0.15365675669046042,0.3868202222385753
"Columbus, IN",18020,2024,305,218,86,1,0,0,0,101,59,44,0,0,207,98,0,"Columbus, IN Metro Area",80365,0.4439,82881,18020,18020,0.11839866796973975,0.019039345567741704,0.9885860450525452,0.17118519322884618,0.3979681712334552
"Columbus, OH",18140,2024,306,119,182,5,0,0,0,118,76,54,1,1,103,180,21,"Columbus, OH Metro Area",79847,0.4599,2151847,18140,18140,0.11939882342936092,0.021943009888714206,0.9881464620858267,0.15942862108690814,0.3974687791464728
"Concord, NH",18180,2024,122,113,9,0,0,0,0,74,48,39,0,0,122,0,0,"Concord, NH Micro Area",93944,0.4348,155018,18180,18180,0.06828884387619502,0.016720638893547846,0.9788863228786334,0.16946419125520906,0.3899224606174767
"Cookeville, TN",18260,2024,177,148,29,0,0,0,0,63,54,33,0,0,0,177,0,"Cookeville, TN Micro Area",53328,0.4702,143819,18260,18260,0.164581870267489,0.019357664842614676,0.9888262329733901,0.2102225714265848,0.4015116222474082
"Corning, NY",18500,2024,275,236,39,0,0,0,0,68,53,38,1,0,216,58,0,"Corning, NY Micro Area",64740,0.4504,93034,18500,18500,0.13475718554506955,0.02789302835522497,0.9902078809897457,0.20256035427908076,0.41829868650170904
"Corpus Christi, TX",18580,2024,182,64,105,12,1,0,0,153,88,56,0,0,38,144,0,"Corpus Christi, TX Metro Area",65801,0.4656,446797,18580,18580,0.1699272824123707,0.025445560288005514,0.9844605044349,0.16486010425316194,0.37378048644015066
"Corsicana, TX",18620,2024,182,101,78,3,0,0,0,112,71,48,0,0,89,93,0,"Corsicana, TX Micro Area",59310,0.4516,53735,18620,18620,0.1640271703731274,0.01753047362054527,0.9855587605843491,0.1480785335442449,0.34398436773052943
"Crescent City, CA",18860,2024,129,108,21,0,0,0,0,66,53,34,0,0,0,129,0,"Crescent City, CA Micro Area",66780,0.4291,27293,18860,18860,0.10625435093247353,0.026087275125490052,0.9179276737625032,0.15077126003004435,0.3525079690763199
"Crestview-Fort Walton Beach-Destin, FL",18880,2024,182,167,15,0,0,0,0,74,50,38,0,0,179,0,3,"Crestview-Fort Walton Beach-Destin, FL Metro Area",79150,0.4592,294127,18880,18880,0.0961353428960959,0.017230652065264324,0.9406990857690726,0.1436624315346772,0.39704617393166897
"Dallas-Fort Worth-Arlington, TX",19100,2024,183,50,119,12,2,0,0,174,94,57,1,1,58,122,1,"Dallas-Fort Worth-Arlington, TX Metro Area",87155,0.4638,7807555,19100,19100,0.10416577276753093,0.0242653429914999,0.9931666187429996,0.12022624240239102,0.36194147847821756
"Dalton, GA",19140,2024,198,161,37,0,0,0,0,77,58,41,0,0,179,19,0,"Dalton, GA Metro Area",65715,0.447,143400,19140,19140,0.13384239888423988,0.02604602510460251,0.9919456066945607,0.16317294281729428,0.3581520223152022
"Daphne-Fairhope-Foley, AL",19300,2024,210,181,29,0,0,0,0,84,53,39,0,0,98,112,0,"Daphne-Fairhope-Foley, AL Metro Area",75019,0.4589,239945,19300,19300,0.10343620413011315,0.01506595261414074,0.9864927379191064,0.16152451603492468,0.39443205734647524
"Davenport-Moline-Rock Island, IA-IL",19340,2024,306,182,124,0,0,0,0,90,61,47,1,0,142,114,49,"Davenport-Moline-Rock Island, IA-IL Metro Area",71925,0.4457,381864,19340,19340,0.12092001340791486,0.02253943812456791,0.9866496972744223,0.16779795948295728,0.4204140741206293
"Decatur, AL",19460,2024,213,144,69,0,0,0,0,79,59,45,0,0,72,141,0,"Decatur, AL Metro Area",63987,0.4463,156924,19460,19460,0.1334849991078484,0.016517549896765314,0.9853495959827687,0.18962045321302032,0.39443934643521705
"Decatur, IL",19500,2024,274,185,88,1,0,0,0,101,60,43,0,0,122,152,0,"Decatur, IL Metro Area",62449,0.4652,102591,19500,19500,0.14194227563821388,0.03276115838621321,0.9820062188691016,0.22041894513163923,0.4223957267206675
"Deltona-Daytona Beach-Ormond Beach, FL",19660,2024,182,143,39,0,0,0,0,76,54,43,0,0,111,71,0,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",67599,0.4519,689939,19660,19660,0.11450577514823775,0.017859549902237735,0.9875235346892987,0.1909386192112636,0.41698179114385475
"Deming, NM",19700,2024,182,170,10,1,1,0,0,153,39,15,0,0,0,0,182,"Deming, NM Micro Area",37917,0.4417,25420,19700,19700,0.2563729346970889,0.01955153422501967,0.9850118017309205,0.18713611329661684,0.3572777340676633
"Denver-Aurora-Lakewood, CO",19740,2024,285,67,179,31,8,0,0,174,112,63,0,16,180,68,21,"Denver-Aurora-Centennial, CO Metro Area",102339,0.4492,2977085,19740,19740,0.08085056355461802,0.02491027296835663,0.9916636575710804,0.10471921359316244,0.40348394486553124
"Des Moines-West Des Moines, IA",19780,2024,305,193,112,0,0,0,0,93,59,46,0,2,143,158,2,"Des Moines-West Des Moines, IA Metro Area",84209,0.4356,720331,19780,19780,0.08748894605396686,0.022293917657299215,0.9878305945461184,0.1416987468261119,0.4018305473455953
"Detroit-Warren-Dearborn, MI",19820,2024,275,109,157,8,1,0,0,152,80,53,1,0,103,171,0,"Detroit-Warren-Dearborn, MI Metro Area",75123,0.4719,4367620,19820,19820,0.13071237882416512,0.03266286902248822,0.9934557035639547,0.1565495624619358,0.4019058434570773
"Dickinson, ND",19860,2024,274,217,47,9,1,0,0,172,64,40,0,0,209,65,0,"Dickinson, ND Micro Area",82133,0.4414,38107,19860,19860,0.10360301256986905,0.015377752119033248,0.9898968693415908,0.1693914503896922,0.3963051407877818
"Dodge City, KS",19980,2024,182,174,8,0,0,0,0,80,40,20,0,0,0,61,121,"Dodge City, KS Micro Area",70495,0.3976,34133,19980,19980,0.13971816131016904,0.023906483461752556,0.9883397298801746,0.139366595376908,0.34476899188468635
"Douglas, GA",20060,2024,269,178,90,1,0,0,0,137,59,44,0,0,0,269,0,"Douglas, GA Micro Area",48038,0.4575,51422,20060,20060,0.19176617012173777,0.01884407452063319,0.9363502003033721,0.20108124927074014,0.3599043211076971
"Dover, DE",20100,2024,153,113,40,0,0,0,0,93,58,43,0,0,95,58,0,"Dover, DE Metro Area",72872,0.4047,185043,20100,20100,0.1098285263425258,0.02630739882081462,0.9809179488010895,0.1911393567981496,0.3785768713218009
"Duluth, MN-WI",20260,2024,244,223,20,1,0,0,0,114,49,38,0,0,208,36,0,"Duluth, MN-WI Metro Area",71067,0.4421,280710,20260,20260,0.12173773645399166,0.021627302197997935,0.9805243845962025,0.15924975953831355,0.42457696555163693
"Durango, CO",20420,2024,305,181,123,1,0,0,0,101,74,48,0,2,293,10,0,"Durango, CO Micro Area",85296,0.4327,56088,20420,20420,0.12043574383112252,0.016741548994437312,0.9932249322493225,0.12888674939380973,0.4136357153045215
"Durham-Chapel Hill, NC",20500,2024,274,151,123,0,0,0,0,97,63,47,0,0,138,136,0,"Durham-Chapel Hill, NC Metro Area",81017,0.4853,594291,20500,20500,0.1181205840236517,0.020488279310977284,0.9890457705063681,0.09789985040998433,0.4096006838400716
"Dyersburg, TN",20540,2024,174,143,31,0,0,0,0,66,53,32,0,0,0,174,0,"Dyersburg, TN Micro Area",54973,0.5648,36681,20540,20540,0.17594940159755731,0.01733867669910853,0.9861508682969384,0.20250265805185247,0.4057686540715902
"Eagle Pass, TX",20580,2024,172,99,73,0,0,0,0,100,79,41,0,0,0,172,0,"Eagle Pass, TX Metro Area",51270,0.4549,57770,20580,20580,0.22470140211182274,0.03197161156309503,0.9936126016963822,0.12336853037908949,0.31711961225549595
"East Stroudsburg, PA",20700,2024,177,155,21,1,0,0,0,119,54,37,0,0,177,0,0,"East Stroudsburg, PA Micro Area",82374,0.4223,167784,20700,20700,0.1106541744147237,0.03193987507748057,0.993974395651552,0.21747008057979306,0.3609521766080198
"Eau Claire, WI",20740,2024,182,151,30,1,0,0,0,142,55,40,0,0,89,93,0,"Eau Claire, WI Metro Area",72513,0.4321,172886,20740,20740,0.10245479680251726,0.0166699443563967,0.9822021447659152,0.17539303355968672,0.4038962090626193
"Effingham, IL",20820,2024,210,192,17,1,0,0,0,101,49,41,0,0,210,0,0,"Effingham, IL Micro Area",74219,0.4283,44883,20820,20820,0.10326849809504712,0.01156339816857162,0.9889713254461601,0.2014571218501437,0.4057215426776285
"El Centro, CA",20940,2024,192,65,107,20,0,0,0,136,101,56,0,1,113,53,25,"El Centro, CA Metro Area",56393,0.4617,179319,20940,20940,0.1879611195690362,0.049124744171002516,0.958236438971888,0.13404602970125865,0.2723860829025368
"El Dorado, AR",20980,2024,92,47,45,0,0,0,0,93,63,49,0,0,0,92,0,"El Dorado, AR Micro Area",50221,0.5036,38368,20980,20980,0.1909664303586322,0.019312969140950792,0.9878544620517098,0.2340492076730609,0.39420871559633025
"El Paso, TX",21340,2024,183,45,104,23,7,1,3,431,128,68,1,7,64,64,47,"El Paso, TX Metro Area",58800,0.4647,869606,21340,21340,0.18571054017566577,0.028445065926408053,0.969739169232963,0.11654588399804049,0.3417501719169371
"Elizabethtown-Fort Knox, KY",21060,2024,154,129,25,0,0,0,0,67,53,41,0,0,73,81,0,"Elizabethtown, KY Metro Area",67630,0.4586,126480,21060,21060,0.12185325743200506,0.028004427577482605,0.9597169512966477,0.17115749525616697,0.3909788108791904
"Elkhart-Goshen, IN",21140,2024,274,172,102,0,0,0,0,93,64,46,0,0,148,126,0,"Elkhart-Goshen, IN Metro Area",65617,0.4434,206868,21140,21140,0.12334918885472862,0.016880329485468994,0.9900661291258194,0.19315215499738964,0.3468878705261326
"Elko, NV",21220,2024,182,182,0,0,0,0,0,43,26,12,0,0,0,0,182,"Elko, NV Micro Area",83305,0.4225,55512,21220,21220,0.11157947831099582,0.0212926934716818,0.9882367776336648,0.1800151318633809,0.36345294711053466
"Ellensburg, WA",21260,2024,213,195,18,0,0,0,0,79,48,20,0,0,0,213,0,"Ellensburg, WA Micro Area",69928,0.4654,44736,21260,21260,0.1370261087267525,0.026444027181688125,0.994031652360515,0.1436874105865522,0.43814824749642345
"Emporia, KS",21380,2024,20,18,2,0,0,0,0,94,54,16,0,0,0,20,0,"Emporia, KS Micro Area",58788,0.4118,34724,21380,21380,0.14312867181200323,0.012844142379910148,0.9849095726298813,0.1747494528280152,0.416628268632646
"Erie, PA",21500,2024,245,210,35,0,0,0,0,93,54,36,63,1,125,56,0,"Erie, PA Metro Area",61476,0.46,269544,21500,21500,0.1467033211646336,0.026656130353485886,0.9792649808565578,0.22746935565250942,0.40848989404327307
"Espa?ola, NM",21580,2024,179,113,63,3,0,0,0,108,80,48,0,0,179,0,0,"Española, NM Micro Area",53901,0.4723,40165,21580,21580,0.2,0.02123739574256193,0.9979335242126229,0.19873023776920204,0.3729615336735964
"Eugene, OR",21660,2024,274,179,81,8,5,1,0,216,74,41,0,0,81,193,0,"Eugene-Springfield, OR Metro Area",69311,0.4625,382628,21660,21660,0.14939053075049397,0.03460541309052134,0.9945299350805482,0.127614811252705,0.4168774893630367
"Eureka-Arcata-Fortuna, CA",21700,2024,305,269,36,0,0,0,0,86,52,35,0,0,110,188,7,"Eureka-Arcata, CA Micro Area",61135,0.4857,135418,21700,21700,0.18508617761302043,0.04210666233440163,0.9932357589094507,0.13829771522249626,0.40524893293358344
"Evanston, WY",21740,2024,182,182,0,0,0,0,0,22,13,6,0,0,0,0,182,"Evanston, WY-UT Micro Area",81526,0.3659,23193,21740,21740,0.07661794506963308,0.01642737032725391,0.9921959211831156,0.17794162031647479,0.3576941318501272
"Evansville, IN-KY",21780,2024,305,185,118,2,0,0,0,122,64,47,0,0,173,132,0,"Evansville, IN Metro Area",67671,0.457,269721,21780,21780,0.11665387567152724,0.019787113350462144,0.9863117814334071,0.18518394934024418,0.41585564342413084
"Fairbanks, AK",21820,2024,183,97,68,11,5,1,1,325,99,48,1,0,65,116,1,"Fairbanks-College, AK Metro Area",84722,0.4243,95555,21820,21820,0.0593270891109832,0.02216524514677411,0.906263408508189,0.13176704515723928,0.3785882476060907
"Fairmont, WV",21900,2024,53,42,11,0,0,0,0,61,54,32,0,0,0,53,0,"Fairmont, WV Micro Area",67537,0.4094,56042,21900,21900,0.13229363691517076,0.02583776453374255,0.9915955890225189,0.22847150351522072,0.40978194925234646
"Fallon, NV",21980,2024,182,152,29,1,0,0,0,105,54,44,0,0,182,0,0,"Fallon, NV Micro Area",73268,0.4278,25614,21980,21980,0.08885765596939174,0.029397985476692434,0.9478019832903881,0.1801358631998126,0.37979230108534395
"Fargo, ND-MN",22020,2024,274,211,61,1,1,0,0,158,59,40,0,0,153,121,0,"Fargo, ND-MN Metro Area",75523,0.4563,254914,22020,22020,0.10977427681492581,0.019073099162854924,0.9900554696878163,0.09938645974720886,0.4221306009085417
"Farmington, NM",22140,2024,272,165,99,8,0,0,0,108,87,47,0,2,269,0,1,"Farmington, NM Metro Area",53020,0.4746,121178,22140,22140,0.22924128142071992,0.03207677961346119,0.990443809932496,0.171648319001799,0.33878261730677184
"Fayetteville, NC",22180,2024,274,195,78,1,0,0,0,110,61,44,0,0,178,95,1,"Fayetteville, NC Metro Area",58909,0.452,389851,22180,22180,0.1636650925610041,0.030742514447827503,0.8989998743109547,0.14493485972846035,0.37676189108146446
"Fayetteville-Springdale-Rogers, AR-MO",22220,2024,274,226,47,1,0,0,0,101,54,43,0,0,219,55,0,"Fayetteville-Springdale-Rogers, AR Metro Area",77979,0.4708,563436,22220,22220,0.10747272094789825,0.01877409324217835,0.9932893886794596,0.15691045655584662,0.3718523488027034
"Flagstaff, AZ",22380,2024,273,172,96,5,0,0,0,136,77,47,0,0,273,0,0,"Flagstaff, AZ Metro Area",69748,0.4783,144643,22380,22380,0.16236527173800322,0.03364836182877844,0.9955891401588739,0.11420531930338834,0.3708579053255256
"Flint, MI",22420,2024,274,197,76,1,0,0,0,119,61,43,0,0,150,124,0,"Flint, MI Metro Area",60673,0.4638,404087,22420,22420,0.1575032109421981,0.038828272129516665,0.9940186148032478,0.18786548441301007,0.4117306421636925
"Florence, SC",22500,2024,273,165,108,0,0,0,0,100,61,47,0,0,96,177,0,"Florence, SC Metro Area",53874,0.4901,199675,22500,22500,0.18521597596093653,0.024374608739201203,0.9863428070614749,0.20636534368348566,0.3886114936772255
"Fond du Lac, WI",22540,2024,98,92,6,0,0,0,0,67,49,40,0,0,98,0,0,"Fond du Lac, WI Metro Area",73154,0.404,104053,22540,22540,0.08449540138198802,0.016241722968102792,0.9836910036231535,0.2324969006179543,0.4134047072165147
"Fort Collins, CO",22660,2024,274,124,127,21,2,0,0,161,93,54,0,0,214,60,0,"Fort Collins-Loveland, CO Metro Area",91364,0.4522,363561,22660,22660,0.10793236898347182,0.025415267314150856,0.9929310349569949,0.09323057203605448,0.4169066539040216
"Fort Payne, AL",22840,2024,244,182,62,0,0,0,0,87,58,44,0,0,170,74,0,"Fort Payne, AL Micro Area",51149,0.4417,71946,22840,22840,0.20021960915130793,0.018889166875156366,0.988116087065299,0.1843048953381703,0.3606315847997109
"Fort Smith, AR-OK",22900,2024,211,133,78,0,0,0,0,97,59,45,0,0,43,168,0,"Fort Smith, AR-OK Metro Area",56717,0.4779,228916,22900,22900,0.16828880462702475,0.02490870013454717,0.9875107026158066,0.18131541700885914,0.3937208408324451
"Fort Wayne, IN",23060,2024,274,162,112,0,0,0,0,100,66,47,0,0,152,122,0,"Fort Wayne, IN Metro Area",69378,0.4388,451440,23060,23060,0.11570308346624136,0.02290448343079922,0.9898524720893142,0.16895268474215844,0.3975544922913344
"Fresno, CA",23420,2024,244,73,131,33,7,0,0,169,115,61,0,0,162,80,2,"Fresno, CA Metro Area",71897,0.4725,1170942,23420,23420,0.1843848798659541,0.04008396658416898,0.9842110027652949,0.12471155701990363,0.3131461677862781
"Gadsden, AL",23460,2024,212,125,87,0,0,0,0,93,61,47,0,0,57,155,0,"Gadsden, AL Metro Area",53070,0.4765,103208,23460,23460,0.16860127121928534,0.028205177893186575,0.9894097356794047,0.19016936671575846,0.37942795132160295
"Gainesville, FL",23540,2024,182,155,27,0,0,0,0,94,52,41,0,0,102,80,0,"Gainesville, FL Metro Area",58946,0.5153,344521,23540,23540,0.17850871209592448,0.020518342858635612,0.9890427579160632,0.1256120817018411,0.3995837699298446
"Gainesville, GA",23580,2024,273,121,152,0,0,0,0,100,69,52,0,0,0,273,0,"Gainesville, GA Metro Area",77430,0.4493,208395,23580,23580,0.12587154202356102,0.019592600590225294,0.9930468581299935,0.15477818565704551,0.3419611794908707
"Gardnerville Ranchos, NV",23820,2024,162,153,9,0,0,0,0,76,40,22,0,0,0,162,0,"Gardnerville Ranchos, NV-CA Micro Area",88659,0.4742,51319,23820,23820,0.083809115532259,0.014380638749780784,0.996921218262242,0.15631637405249518,0.42029267912469065
"Gettysburg, PA",23900,2024,245,144,98,3,0,0,0,131,69,46,3,0,171,71,0,"Gettysburg, PA Metro Area",81071,0.3978,105183,23900,23900,0.08023159636062861,0.0160196990007891,0.9899888765294772,0.2507724632307502,0.3841970660658091
"Gillette, WY",23940,2024,211,150,60,1,0,0,0,103,61,43,0,0,122,33,56,"Gillette, WY Micro Area",95253,0.3918,47018,23940,23940,0.08954017610276915,0.018120719724360884,0.9871963928708154,0.18339784763282146,0.3802586243566294
"Grand Island, NE",24260,2024,266,193,73,0,0,0,0,80,57,36,0,0,0,266,0,"Grand Island, NE Metro Area",67397,0.4471,76619,24260,24260,0.10731019720956943,0.015727169501037603,0.9892585390046855,0.18928725250916875,0.39298346363173625
"Grand Junction, CO",24300,2024,273,222,51,0,0,0,0,90,58,42,0,0,198,71,4,"Grand Junction, CO Metro Area",71485,0.4446,157316,24300,24300,0.10884461847491674,0.025566375956673194,0.991590175188792,0.16527244526939408,0.4103778382364159
"Grand Rapids-Wyoming, MI",24340,2024,275,130,144,1,0,0,0,112,68,51,1,1,92,181,0,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",80296,0.4377,1154320,24340,24340,0.09705887448887657,0.02176519509321505,0.9889190172569131,0.15357613140203757,0.378088398364405
"Grants Pass, OR",24420,2024,274,235,39,0,0,0,0,97,53,27,0,0,0,274,0,"Grants Pass, OR Metro Area",59097,0.4747,88069,24420,24420,0.15570745665330593,0.032031702415151755,0.9915180142842543,0.17991574787950357,0.4125855863016498
"Great Falls, MT",24500,2024,87,52,35,0,0,0,0,74,58,46,0,0,0,87,0,"Great Falls, MT Metro Area",66203,0.4435,84601,24500,24500,0.128119052966277,0.01412512854457985,0.952577392702214,0.17630997269535822,0.4126310563704921
"Greeley, CO",24540,2024,274,118,138,16,2,0,0,164,90,52,0,0,192,82,0,"Greeley, CO Metro Area",93287,0.4199,340711,24540,24540,0.08880253352548054,0.025464396511999905,0.9938980543627884,0.13040964336343705,0.3522604201214519
"Green Bay, WI",24580,2024,182,148,34,0,0,0,0,86,61,39,0,0,93,89,0,"Green Bay, WI Metro Area",77459,0.4271,329375,24580,24580,0.09283643263757116,0.014296774193548387,0.9908068311195446,0.19016318785578748,0.41036812144212526
"Greenfield Town, MA",24640,2024,248,197,51,0,0,0,0,93,57,38,0,0,165,83,0,"Greenfield, MA Micro Area",72584,0.4352,70922,24640,24640,0.1199627760074448,0.033360593327881334,0.9912439017512197,0.18070556385888722,0.44412171117565774
"Greensboro-High Point, NC",24660,2024,274,198,75,1,0,0,0,122,64,44,0,0,179,85,10,"Greensboro-High Point, NC Metro Area",63083,0.4688,779894,24660,24660,0.1479675443073033,0.023764768032578786,0.9912654796677497,0.14897280912534266,0.3997915101282995
"Greenville, NC",24780,2024,274,245,29,0,0,0,0,74,52,38,0,0,187,87,0,"Greenville, NC Metro Area",58851,0.4799,172279,24780,24780,0.1870512366568183,0.03839121425130167,0.9896911405336692,0.12664340981779557,0.4260763064563876
"Greenville-Anderson-Mauldin, SC",24860,2024,271,158,112,1,0,0,0,115,67,48,0,1,144,126,0,"Greenville-Anderson-Greer, SC Metro Area",69016,0.4738,945301,24860,24860,0.12716796025816116,0.021726413068430057,0.9911171150776313,0.14539707458259327,0.3973369328922745
"Guayama, PR",25020,2024,27,26,1,0,0,0,0,53,29,14,0,0,0,0,27,"Guayama, PR Metro Area",20430,0.534,67171,25020,25020,0.4822021408048116,0.02487680695538253,0.9684536481517322,0.22448675767816467,0.4070357743669143
"Gulfport-Biloxi-Pascagoula, MS",25060,2024,274,168,103,3,0,0,0,115,64,47,0,0,120,154,0,"Gulfport-Biloxi, MS Metro Area",61266,0.46,418452,25060,25060,0.15548497796640953,0.03369801076348064,0.9737938879489165,0.1508177759934234,0.39375603414489596
"Hagerstown-Martinsburg, MD-WV",25180,2024,305,230,75,0,0,0,0,97,61,43,0,0,224,81,0,"Hagerstown-Martinsburg, MD-WV Metro Area",75473,0.4244,298525,25180,25180,0.11529017670211875,0.02378025291014153,0.972632107863663,0.2181525835357173,0.3885972699103928
"Hailey, ID",25200,2024,176,176,0,0,0,0,0,44,22,12,0,0,0,176,0,"Hailey, ID Micro Area",81389,0.4743,31010,25200,25200,0.07691067397613673,0.016607545952918412,0.9948403740728797,0.14492099322799096,0.3868752015478878
"Hammond, LA",25220,2024,65,33,32,0,0,0,0,77,62,50,0,0,0,65,0,"Hammond, LA Metro Area",57256,0.4781,135218,25220,25220,0.1883255187918768,0.02424973006552382,0.9908666006005118,0.1832670206629295,0.3711857888742623
"Hanford-Corcoran, CA",25260,2024,182,86,92,3,1,0,0,156,82,52,0,0,97,80,5,"Hanford-Corcoran, CA Metro Area",68750,0.4211,152830,25260,25260,0.1532879670221815,0.03786560230321272,0.8879735653994635,0.15159981678989728,0.2861741804619512
"Harrisburg-Carlisle, PA",25420,2024,182,108,72,2,0,0,0,105,71,46,0,0,92,90,0,"Harrisburg-Carlisle, PA Metro Area",79281,0.4395,597894,25420,25420,0.09677635166099677,0.01993664428811796,0.983244521604164,0.1995671473538788,0.4067309589994213
"Harrison, AR",25460,2024,274,262,12,0,0,0,0,79,48,39,0,0,269,5,0,"Harrison, AR Micro Area",53775,0.4349,45071,25460,25460,0.132302367375918,0.017616649286681014,0.9900601273546182,0.20935856759335272,0.405604490692463
"Harrisonburg, VA",25500,2024,274,207,67,0,0,0,0,83,56,44,0,8,139,127,0,"Harrisonburg, VA Metro Area",72145,0.445,136231,25500,25500,0.1409370848044865,0.022586635934552343,0.9916685629555682,0.16656267663013558,0.3624652245083718
"Hartford-West Hartford-East Hartford, CT",25540,2024,182,140,35,6,1,0,0,185,63,41,0,7,132,43,0,"Hartford-West Hartford-East Hartford, CT Metro Area",92823,0.4671,1144012,25540,25540,0.09455407810407583,0.027433278671902043,0.9868838788404317,0.15411813862092355,0.40446254060272097
"Hattiesburg, MS",25620,2024,271,174,97,0,0,0,0,76,59,43,0,0,0,271,0,"Hattiesburg, MS Metro Area",59008,0.4848,154567,25620,25620,0.1827815769213351,0.02826605937878072,0.9868535974690588,0.15246462699023725,0.38382707822497686
"Heber, UT",25720,2024,92,79,12,1,0,0,0,108,54,42,0,0,87,5,0,"Heber, UT Micro Area",125583,0.4934,78517,25720,25720,0.04791319077397251,0.011780888215290957,0.9959371855776457,0.09544429868690857,0.3370225556248965
"Helena, MT",25740,2024,183,130,52,1,0,0,0,116,64,44,1,0,122,60,0,"Helena, MT Metro Area",74040,0.4408,92391,25740,25740,0.08396921778095269,0.017674881752551656,0.9868385448799125,0.14136658332521565,0.41598207617625094
"Hermiston-Pendleton, OR",25840,2024,182,157,25,0,0,0,0,86,54,33,0,0,62,120,0,"Hermiston-Pendleton, OR Micro Area",69037,0.422,92336,25840,25840,0.12276901750129961,0.02289464564200312,0.9608711661757061,0.16429128400623808,0.3521486744065153
"Hickory-Lenoir-Morganton, NC",25860,2024,274,198,76,0,0,0,0,93,58,44,0,0,167,107,0,"Hickory-Lenoir-Morganton, NC Metro Area",60255,0.4512,366972,25860,25860,0.13623110210043274,0.022113403747424872,0.9830477529620788,0.1836788637825229,0.40257839835191783
"Hilo, HI",25900,2024,241,237,4,0,0,0,0,57,29,20,0,0,0,241,0,"Hilo-Kailua, HI Micro Area",77215,0.4761,203684,25900,25900,0.14363916655211012,0.028681683391920818,0.9923508964867147,0.19080045560770606,0.3581921014905442
"Hobbs, NM",26020,2024,180,126,54,0,0,0,0,93,71,44,0,0,146,34,0,"Hobbs, NM Micro Area",68750,0.4864,73154,26020,26020,0.1801405254668234,0.03189162588511906,0.9771030975749788,0.15702490636192143,0.3358394619569675
"Holland, MI",26090,2024,274,163,106,4,1,0,0,154,71,48,0,0,128,146,0,"Holland, MI Micro Area",80255,0.4144,120913,26090,26090,0.0925127984583957,0.014812303060878483,0.9927054989951453,0.21719748910373574,0.37203609206619637
"Homosassa Springs, FL",26140,2024,182,126,55,0,0,1,0,272,56,44,0,0,0,182,0,"Homosassa Springs, FL Metro Area",55355,0.4833,158693,26140,26140,0.1520167871298671,0.023617928957168872,0.9852230407138312,0.24948800514200375,0.43921912119627204
"Hot Springs, AR",26300,2024,77,40,37,0,0,0,0,97,62,50,0,0,0,77,0,"Hot Springs, AR Metro Area",55409,0.4601,100062,26300,26300,0.16226939297635465,0.02654354300333793,0.9893965741240431,0.18683416281905219,0.43734884371689553
"Houghton, MI",26340,2024,20,20,0,0,0,0,0,49,38,12,0,0,0,20,0,"Houghton, MI Micro Area",56403,0.4702,39534,26340,26340,0.13934840896443568,0.026812364041078566,0.9875550159356503,0.15599231041635048,0.3880457327869682
"Houma-Thibodaux, LA",26380,2024,301,154,147,0,0,0,0,99,61,50,0,0,63,238,0,"Houma-Bayou Cane-Thibodaux, LA Metro Area",64269,0.468,204032,26380,26380,0.16829712986198245,0.02309931775407779,0.9889576144918444,0.2111237452948557,0.38836064930991215
