Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Coeur d'Alene, ID Metro Area",77034,0.427,16237,2804,26329,467400,176249,69104,177736,17660,17660
"College Station-Bryan, TX Metro Area",59691,0.5113,57594,6531,29218,261900,268939,102644,273280,17780,17780
"Colorado Springs, CO Metro Area",87180,0.4284,62848,20415,80330,431600,721774,294427,760782,17820,17820
"Columbia, MO Metro Area",69463,0.4689,33071,4304,24736,242500,210097,84722,212850,17860,17860
"Columbia, SC Metro Area",66146,0.4674,118721,23074,119576,213400,814868,334378,839868,17900,17900
"Columbus, GA-AL Metro Area",57762,0.4859,57312,8747,50113,184900,307294,126156,326136,17980,17980
"Columbus, IN Metro Area",80365,0.4439,9813,1578,14188,221100,81935,32984,82881,18020,18020
"Columbus, OH Metro Area",79847,0.4599,256928,47218,343066,274300,2126340,855292,2151847,18140,18140
"Concord, NH Micro Area",93944,0.4348,10586,2592,26270,330600,151745,60445,155018,18180,18180
"Cookeville, TN Micro Area",53328,0.4702,23670,2784,30234,212000,142212,57745,143819,18260,18260
"Corning, NY Micro Area",64740,0.4504,12537,2595,18845,128600,92123,38916,93034,18500,18500
"Corpus Christi, TX Metro Area",65801,0.4656,75923,11369,73659,195400,439854,167004,446797,18580,18580
"Corsicana, TX Micro Area",59310,0.4516,8814,942,7957,159900,52959,18484,53735,18620,18620
"Crescent City, CA Micro Area",66780,0.4291,2900,712,4115,319600,25053,9621,27293,18860,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",79150,0.4592,28276,5068,42255,333800,276685,116782,294127,18880,18880
"Dallas-Fort Worth-Arlington, TX Metro Area",87155,0.4638,813280,189453,938673,330300,7754203,2825878,7807555,19100,19100
"Dalton, GA Metro Area",65715,0.447,19193,3735,23399,190800,142245,51359,143400,19140,19140
"Daphne-Fairhope-Foley, AL Metro Area",75019,0.4589,24819,3615,38757,287000,236704,94642,239945,19300,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",71925,0.4457,46175,8607,64076,170000,376766,160541,381864,19340,19340
"Decatur, AL Metro Area",63987,0.4463,20947,2592,29756,185000,154625,61897,156924,19460,19460
"Decatur, IL Metro Area",62449,0.4652,14562,3361,22613,121800,100745,43334,102591,19500,19500
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",67599,0.4519,79002,12322,131736,287200,681331,287692,689939,19660,19660
"Deming, NM Micro Area",37917,0.4417,6517,497,4757,112500,25039,9082,25420,19700,19700
"Denver-Aurora-Centennial, CO Metro Area",102339,0.4492,240699,74160,311758,570300,2952267,1201206,2977085,19740,19740
"Des Moines-West Des Moines, IA Metro Area",84209,0.4356,63021,16059,102070,252400,711565,289451,720331,19780,19780
"Detroit-Warren-Dearborn, MI Metro Area",75123,0.4719,570902,142659,683749,237100,4339037,1755372,4367620,19820,19820
"Dickinson, ND Micro Area",82133,0.4414,3948,586,6455,260400,37722,15102,38107,19860,19860
"Dodge City, KS Micro Area",70495,0.3976,4769,816,4757,132700,33735,11768,34133,19980,19980
"Douglas, GA Micro Area",48038,0.4575,9861,969,10340,114400,48149,18507,51422,20060,20060
"Dover, DE Metro Area",72872,0.4047,20323,4868,35369,290600,181512,70053,185043,20100,20100
"Duluth, MN-WI Metro Area",71067,0.4421,34173,6071,44703,208900,275243,119183,280710,20260,20260
"Durango, CO Micro Area",85296,0.4327,6755,939,7229,549100,55708,23200,56088,20420,20420
"Durham-Chapel Hill, NC Metro Area",81017,0.4853,70198,12176,58181,359400,587781,243422,594291,20500,20500
"Dyersburg, TN Micro Area",54973,0.5648,6454,636,7428,159500,36173,14884,36681,20540,20540
"Eagle Pass, TX Metro Area",51270,0.4549,12981,1847,7127,151500,57401,18320,57770,20580,20580
"East Stroudsburg, PA Micro Area",82374,0.4223,18566,5359,36488,241200,166773,60562,167784,20700,20700
"Eau Claire, WI Metro Area",72513,0.4321,17713,2882,30323,240700,169809,69828,172886,20740,20740
"Effingham, IL Micro Area",74219,0.4283,4635,519,9042,167400,44388,18210,44883,20820,20820
"El Centro, CA Metro Area",56393,0.4617,33705,8809,24037,279500,171830,48844,179319,20940,20940
"El Dorado, AR Micro Area",50221,0.5036,7327,741,8980,114700,37902,15125,38368,20980,20980
"El Paso, TX Metro Area",58800,0.4647,161495,24736,101349,167000,843291,297188,869606,21340,21340
"Elizabethtown, KY Metro Area",67630,0.4586,15412,3542,21648,201100,121385,49451,126480,21060,21060
"Elkhart-Goshen, IN Metro Area",65617,0.4434,25517,3492,39957,194400,204813,71760,206868,21140,21140
"Elko, NV Micro Area",83305,0.4225,6194,1182,9993,280400,54859,20176,55512,21220,21220
"Ellensburg, WA Micro Area",69928,0.4654,6130,1183,6428,459900,44469,19601,44736,21260,21260
"Emporia, KS Micro Area",58788,0.4118,4970,446,6068,137800,34200,14467,34724,21380,21380
"Erie, PA Metro Area",61476,0.46,39543,7185,61313,169500,263955,110106,269544,21500,21500
"Española, NM Micro Area",53901,0.4723,8033,853,7982,230900,40082,14980,40165,21580,21580
"Eugene-Springfield, OR Metro Area",69311,0.4625,57161,13241,48829,395800,380535,159509,382628,21660,21660
"Eureka-Arcata, CA Micro Area",61135,0.4857,25064,5702,18728,418800,134502,54878,135418,21700,21700
"Evanston, WY-UT Micro Area",81526,0.3659,1777,381,4127,258900,23012,8296,23193,21740,21740
"Evansville, IN Metro Area",67671,0.457,31464,5337,49948,190800,266029,112165,269721,21780,21780
"Fairbanks-College, AK Metro Area",84722,0.4243,5669,2118,12591,282500,86598,36176,95555,21820,21820
"Fairmont, WV Micro Area",67537,0.4094,7414,1448,12804,164300,55571,22965,56042,21900,21900
"Fallon, NV Micro Area",73268,0.4278,2276,753,4614,298000,24277,9728,25614,21980,21980
"Fargo, ND-MN Metro Area",75523,0.4563,27983,4862,25335,276600,252379,107607,254914,22020,22020
"Farmington, NM Metro Area",53020,0.4746,27779,3887,20800,185100,120020,41053,121178,22140,22140
"Fayetteville, NC Metro Area",58909,0.452,63805,11985,56503,185900,350476,146881,389851,22180,22180
"Fayetteville-Springdale-Rogers, AR Metro Area",77979,0.4708,60554,10578,88409,273400,559655,209515,563436,22220,22220
"Flagstaff, AZ Metro Area",69748,0.4783,23485,4867,16519,413200,144005,53642,144643,22380,22380
"Flint, MI Metro Area",60673,0.4638,63645,15690,75914,172900,401670,166375,404087,22420,22420
"Florence, SC Metro Area",53874,0.4901,36983,4867,41206,158800,196948,77596,199675,22500,22500
"Fond du Lac, WI Metro Area",73154,0.404,8792,1690,24192,209800,102356,43016,104053,22540,22540
"Fort Collins-Loveland, CO Metro Area",91364,0.4522,39240,9240,33895,532200,360991,151571,363561,22660,22660
"Fort Payne, AL Micro Area",51149,0.4417,14405,1359,13260,135500,71091,25946,71946,22840,22840
"Fort Smith, AR-OK Metro Area",56717,0.4779,38524,5702,41506,160100,226057,90129,228916,22900,22900
"Fort Wayne, IN Metro Area",69378,0.4388,52233,10340,76272,194000,446859,179472,451440,23060,23060
"Fresno, CA Metro Area",71897,0.4725,215904,46936,146030,363300,1152454,366676,1170942,23420,23420
"Gadsden, AL Metro Area",53070,0.4765,17401,2911,19627,160600,102115,39160,103208,23460,23460
"Gainesville, FL Metro Area",58946,0.5153,61500,7069,43276,245800,340746,137665,344521,23540,23540
"Gainesville, GA Metro Area",77430,0.4493,26231,4083,32255,313600,206946,71263,208395,23580,23580
"Gardnerville Ranchos, NV-CA Micro Area",88659,0.4742,4301,738,8022,584700,51161,21569,51319,23820,23820
"Gettysburg, PA Metro Area",81071,0.3978,8439,1685,26377,256100,104130,40411,105183,23900,23900
"Gillette, WY Micro Area",95253,0.3918,4210,852,8623,266400,46416,17879,47018,23940,23940
"Grand Island, NE Metro Area",67397,0.4471,8222,1205,14503,201600,75796,30110,76619,24260,24260
"Grand Junction, CO Metro Area",71485,0.4446,17123,4022,26000,349400,155993,64559,157316,24300,24300
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",80296,0.4377,112037,25124,177276,261600,1141529,436435,1154320,24340,24340
"Grants Pass, OR Metro Area",59097,0.4747,13713,2821,15845,383100,87322,36336,88069,24420,24420
"Great Falls, MT Metro Area",66203,0.4435,10839,1195,14916,243300,80589,34909,84601,24500,24500
"Greeley, CO Metro Area",93287,0.4199,30256,8676,44432,444500,338632,120019,340711,24540,24540
"Green Bay, WI Metro Area",77459,0.4271,30578,4709,62635,238700,326347,135165,329375,24580,24580
"Greenfield, MA Micro Area",72584,0.4352,8508,2366,12816,303400,70301,31498,70922,24640,24640
"Greensboro-High Point, NC Metro Area",63083,0.4688,115399,18534,116183,207600,773082,311795,779894,24660,24660
"Greenville, NC Metro Area",58851,0.4799,32225,6614,21818,194300,170503,73404,172279,24780,24780
"Greenville-Anderson-Greer, SC Metro Area",69016,0.4738,120212,20538,137444,242700,936904,375603,945301,24860,24860
"Guayama, PR Metro Area",20430,0.534,32390,1671,15079,97900,65052,27341,67171,25020,25020
"Gulfport-Biloxi, MS Metro Area",61266,0.46,65063,14101,63110,192000,407486,164768,418452,25060,25060
"Hagerstown-Martinsburg, MD-WV Metro Area",75473,0.4244,34417,7099,65124,258300,290355,116006,298525,25180,25180
"Hailey, ID Micro Area",81389,0.4743,2385,515,4494,544300,30850,11997,31010,25200,25200
"Hammond, LA Metro Area",57256,0.4781,25465,3279,24781,204600,133983,50191,135218,25220,25220
"Hanford-Corcoran, CA Metro Area",68750,0.4211,23427,5787,23169,305700,135709,43736,152830,25260,25260
"Harrisburg-Carlisle, PA Metro Area",79281,0.4395,57862,11920,119320,239100,587876,243182,597894,25420,25420
"Harrison, AR Micro Area",53775,0.4349,5963,794,9436,170600,44623,18281,45071,25460,25460
"Harrisonburg, VA Metro Area",72145,0.445,19200,3077,22691,284800,135096,49379,136231,25500,25500
"Hartford-West Hartford-East Hartford, CT Metro Area",92823,0.4671,108171,31384,176313,309300,1129007,462710,1144012,25540,25540
"Hattiesburg, MS Metro Area",59008,0.4848,28252,4369,23566,182400,152535,59327,154567,25620,25620
"Heber, UT Micro Area",125583,0.4934,3762,925,7494,838100,78198,26462,78517,25720,25720
"Helena, MT Metro Area",74040,0.4408,7758,1633,13061,363400,91175,38433,92391,25740,25740
"Hermiston-Pendleton, OR Micro Area",69037,0.422,11336,2114,15170,250800,88723,32516,92336,25840,25840
"Hickory-Lenoir-Morganton, NC Metro Area",60255,0.4512,49993,8115,67405,193400,360751,147735,366972,25860,25860
"Hilo-Kailua, HI Micro Area",77215,0.4761,29257,5842,38863,486400,202126,72958,203684,25900,25900
"Hobbs, NM Micro Area",68750,0.4864,13178,2333,11487,176000,71479,24568,73154,26020,26020
"Holland, MI Micro Area",80255,0.4144,11186,1791,26262,247000,120031,44984,120913,26090,26090
"Homosassa Springs, FL Metro Area",55355,0.4833,24124,3748,39592,223200,156348,69701,158693,26140,26140
"Hot Springs, AR Metro Area",55409,0.4601,16237,2656,18695,176400,99001,43762,100062,26300,26300
"Houghton, MI Micro Area",56403,0.4702,5509,1060,6167,144900,39042,15341,39534,26340,26340
"Houma-Bayou Cane-Thibodaux, LA Metro Area",64269,0.468,34338,4713,43076,189900,201779,79238,204032,26380,26380
"Houston-Pasadena-The Woodlands, TX Metro Area",80458,0.4829,976498,221170,883829,275200,7215722,2601888,7274714,26420,26420
"Huntington-Ashland, WV-KY-OH Metro Area",58483,0.4724,61643,7926,80142,149000,366958,150091,372801,26580,26580
"Huntsville, AL Metro Area",83529,0.4586,50962,9733,58410,265000,496798,202490,504712,26620,26620
"Idaho Falls, ID Metro Area",77300,0.4203,15450,2747,19747,325000,160321,54294,161944,26820,26820
"Indiana, PA Micro Area",58739,0.4476,9985,2603,19652,145400,81777,32291,83213,26860,26860
"Indianapolis-Carmel-Greenwood, IN Metro Area",77065,0.4642,217654,45535,316689,244000,2080563,829040,2106327,26900,26900
"Iowa City, IA Metro Area",74142,0.4941,26484,3561,17295,280400,175264,71262,177420,26980,26980
"Ithaca, NY Metro Area",73012,0.4928,13547,2778,7839,271500,102175,43269,102879,27060,27060
"Jackson, MS Metro Area",60489,0.4901,103026,17171,80393,188500,601280,236483,615908,27140,27140
"Jackson, TN Metro Area",58740,0.4547,28837,5367,38438,168600,178079,71459,180844,27180,27180
"Jackson, WY-ID Micro Area",106679,0.503,2769,479,3890,954600,35364,13956,35459,27220,27220
"Jacksonville, FL Metro Area",77013,0.4648,195281,34959,250764,308900,1610602,642847,1645707,27260,27260
"Jamestown-Dunkirk, NY Micro Area",56507,0.4457,20703,3155,23960,119300,124637,53602,126329,27460,27460
"Janesville-Beloit, WI Metro Area",74390,0.404,16058,3382,32923,215900,162892,66652,163944,27500,27500
"Jasper, IN Micro Area",71918,0.4122,4055,480,9914,212500,42867,17588,43563,27540,27540
"Jefferson City, MO Metro Area",72425,0.4283,14233,2626,28094,203900,142838,57896,150147,27620,27620
"Johnstown, PA Metro Area",56292,0.4674,17864,2828,38307,115900,129529,55692,132355,27780,27780
"Joplin, MO-KS Metro Area",60146,0.4491,32515,4164,38512,157000,200620,78178,202258,27900,27900
"Juneau, AK Micro Area",100513,0.4157,2565,692,3811,432500,31233,13138,31969,27940,27940
"Kahului-Wailuku, HI Metro Area",95049,0.4541,15982,4760,32299,858600,163088,55507,164675,27980,27980
"Kalamazoo-Portage, MI Metro Area",70525,0.4679,33669,7887,32287,227500,259424,106251,261437,28020,28020
"Kalispell, MT Micro Area",71327,0.4495,10268,1668,17558,467700,107555,43568,108445,28060,28060
"Kansas City, MO-KS Metro Area",81927,0.4507,217501,47777,322952,265400,2176523,882252,2202006,28140,28140
"Keene, NH Micro Area",81001,0.4201,6529,1325,15065,257200,76273,30519,76945,28300,28300
"Kennewick-Richland, WA Metro Area",85881,0.4313,35422,7508,36395,362200,304428,105814,307900,28420,28420
"Killeen-Temple, TX Metro Area",67203,0.4495,62607,14413,64815,215000,440791,172803,485850,28660,28660
"Kingsport-Bristol, TN-VA Metro Area",55948,0.4737,45755,8056,63932,182500,305540,129894,309580,28700,28700
"Kingsville, TX Micro Area",57612,0.4504,8329,1093,4270,152200,29977,11794,30629,28780,28780
"Kinston, NC Micro Area",44795,0.4669,12100,1768,10021,111400,53955,22930,54917,28820,28820
"Klamath Falls, OR Micro Area",59353,0.4775,12598,2276,13238,255700,68858,28840,69812,28900,28900
"Knoxville, TN Metro Area",69734,0.4691,113223,17675,160975,255300,909978,371027,919553,28940,28940
"Kokomo, IN Metro Area",62496,0.4306,10292,2259,18612,151500,82460,35129,83610,29020,29020
"La Crosse-Onalaska, WI-MN Metro Area",71009,0.4458,20027,2605,27483,235300,168402,70803,169945,29100,29100
"La Grande, OR Micro Area",64212,0.4495,4065,688,4850,260500,25985,10856,26192,29260,29260
"Laconia, NH Micro Area",87983,0.4492,5546,854,12123,340000,63459,26118,64300,29060,29060
"Lafayette, LA Metro Area",60910,0.4904,74988,10686,82091,206900,406828,162763,410883,29180,29180
"Lafayette-West Lafayette, IN Metro Area",59895,0.4662,36297,3444,34145,204300,223093,89267,225019,29200,29200
"Lake Charles, LA Metro Area",67010,0.4779,42556,6046,48601,198900,243579,90733,245973,29340,29340
"Lake City, FL Micro Area",55070,0.456,11237,1892,13519,186400,66425,26720,70755,29380,29380
"Lake Havasu City-Kingman, AZ Metro Area",55799,0.4653,35787,5662,47249,253200,213572,96899,217420,29420,29420
"Lakeland-Winter Haven, FL Metro Area",63644,0.448,109496,15310,146907,240000,752294,276643,760961,29460,29460
"Lancaster, PA Metro Area",83703,0.4303,47050,9560,112009,279400,548738,210536,555151,29540,29540
"Lansing-East Lansing, MI Metro Area",70886,0.452,59001,13570,62712,205400,467382,192995,470434,29620,29620
"Laramie, WY Micro Area",59881,0.4861,7328,952,2420,322100,37490,16609,37713,29660,29660
"Laredo, TX Metro Area",62506,0.4565,55716,6638,28036,178900,266040,79572,267731,29700,29700
"Las Cruces, NM Metro Area",55663,0.4781,47947,6941,25748,205400,218466,83530,221665,29740,29740
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",73845,0.4697,299896,86020,375989,400800,2268910,847378,2293764,29820,29820
"Lawrenceburg, TN Micro Area",53233,0.4429,6748,1144,9961,176700,44404,16704,44901,29980,29980
"Lawton, OK Metro Area",59060,0.4455,21087,3408,22270,151500,112998,46769,127174,30020,30020
"Lebanon, PA Metro Area",76350,0.4248,14793,2969,36052,227300,141459,55846,143592,30140,30140
"Lewiston, ID-WA Metro Area",70694,0.4564,8699,1193,11140,289400,63863,26688,64901,30300,30300
"Lewiston-Auburn, ME Metro Area",67298,0.428,14060,2493,22621,232000,110713,46632,112323,30340,30340
"Lexington-Fayette, KY Metro Area",70717,0.4813,69955,12697,64269,258900,511395,213372,517378,30460,30460
"Lima, OH Metro Area",62001,0.4342,12815,2865,23921,158400,99436,40928,101685,30620,30620
"Lincoln, NE Metro Area",73095,0.457,37396,5862,37001,257500,336273,138807,341309,30700,30700
"Little Rock-North Little Rock-Conway, AR Metro Area",65309,0.4784,104810,16127,123567,199300,740763,306520,753605,30780,30780
"Logan, UT-ID Metro Area",77520,0.4309,18603,1805,16279,386700,150949,47988,151746,30860,30860
"Longview, TX Metro Area",65210,0.4659,44541,5859,47542,178200,280554,106264,288921,30980,30980
"Longview-Kelso, WA Metro Area",72932,0.4351,14294,2538,19330,367400,110785,43409,111539,31020,31020
"Los Alamos, NM Micro Area",143188,0.3732,564,228,1226,452500,19220,8211,19374,31060,31060
