CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"El Centro, CA",20940,2024,192,65,107,20,0,0,0,136,101,56,0,1,113,53,25,"El Centro, CA Metro Area",56393,0.4617,33705,8809,24037,279500,171830,48844,179319,20940,20940
"El Dorado, AR",20980,2024,92,47,45,0,0,0,0,93,63,49,0,0,0,92,0,"El Dorado, AR Micro Area",50221,0.5036,7327,741,8980,114700,37902,15125,38368,20980,20980
"El Paso, TX",21340,2024,183,45,104,23,7,1,3,431,128,68,1,7,64,64,47,"El Paso, TX Metro Area",58800,0.4647,161495,24736,101349,167000,843291,297188,869606,21340,21340
"Elizabethtown-Fort Knox, KY",21060,2024,154,129,25,0,0,0,0,67,53,41,0,0,73,81,0,"Elizabethtown, KY Metro Area",67630,0.4586,15412,3542,21648,201100,121385,49451,126480,21060,21060
"Elkhart-Goshen, IN",21140,2024,274,172,102,0,0,0,0,93,64,46,0,0,148,126,0,"Elkhart-Goshen, IN Metro Area",65617,0.4434,25517,3492,39957,194400,204813,71760,206868,21140,21140
"Elko, NV",21220,2024,182,182,0,0,0,0,0,43,26,12,0,0,0,0,182,"Elko, NV Micro Area",83305,0.4225,6194,1182,9993,280400,54859,20176,55512,21220,21220
"Ellensburg, WA",21260,2024,213,195,18,0,0,0,0,79,48,20,0,0,0,213,0,"Ellensburg, WA Micro Area",69928,0.4654,6130,1183,6428,459900,44469,19601,44736,21260,21260
"Emporia, KS",21380,2024,20,18,2,0,0,0,0,94,54,16,0,0,0,20,0,"Emporia, KS Micro Area",58788,0.4118,4970,446,6068,137800,34200,14467,34724,21380,21380
"Erie, PA",21500,2024,245,210,35,0,0,0,0,93,54,36,63,1,125,56,0,"Erie, PA Metro Area",61476,0.46,39543,7185,61313,169500,263955,110106,269544,21500,21500
"Espa?ola, NM",21580,2024,179,113,63,3,0,0,0,108,80,48,0,0,179,0,0,"Española, NM Micro Area",53901,0.4723,8033,853,7982,230900,40082,14980,40165,21580,21580
"Eugene, OR",21660,2024,274,179,81,8,5,1,0,216,74,41,0,0,81,193,0,"Eugene-Springfield, OR Metro Area",69311,0.4625,57161,13241,48829,395800,380535,159509,382628,21660,21660
"Eureka-Arcata-Fortuna, CA",21700,2024,305,269,36,0,0,0,0,86,52,35,0,0,110,188,7,"Eureka-Arcata, CA Micro Area",61135,0.4857,25064,5702,18728,418800,134502,54878,135418,21700,21700
"Evanston, WY",21740,2024,182,182,0,0,0,0,0,22,13,6,0,0,0,0,182,"Evanston, WY-UT Micro Area",81526,0.3659,1777,381,4127,258900,23012,8296,23193,21740,21740
"Evansville, IN-KY",21780,2024,305,185,118,2,0,0,0,122,64,47,0,0,173,132,0,"Evansville, IN Metro Area",67671,0.457,31464,5337,49948,190800,266029,112165,269721,21780,21780
"Fairbanks, AK",21820,2024,183,97,68,11,5,1,1,325,99,48,1,0,65,116,1,"Fairbanks-College, AK Metro Area",84722,0.4243,5669,2118,12591,282500,86598,36176,95555,21820,21820
"Fairmont, WV",21900,2024,53,42,11,0,0,0,0,61,54,32,0,0,0,53,0,"Fairmont, WV Micro Area",67537,0.4094,7414,1448,12804,164300,55571,22965,56042,21900,21900
"Fallon, NV",21980,2024,182,152,29,1,0,0,0,105,54,44,0,0,182,0,0,"Fallon, NV Micro Area",73268,0.4278,2276,753,4614,298000,24277,9728,25614,21980,21980
"Fargo, ND-MN",22020,2024,274,211,61,1,1,0,0,158,59,40,0,0,153,121,0,"Fargo, ND-MN Metro Area",75523,0.4563,27983,4862,25335,276600,252379,107607,254914,22020,22020
"Farmington, NM",22140,2024,272,165,99,8,0,0,0,108,87,47,0,2,269,0,1,"Farmington, NM Metro Area",53020,0.4746,27779,3887,20800,185100,120020,41053,121178,22140,22140
"Fayetteville, NC",22180,2024,274,195,78,1,0,0,0,110,61,44,0,0,178,95,1,"Fayetteville, NC Metro Area",58909,0.452,63805,11985,56503,185900,350476,146881,389851,22180,22180
"Fayetteville-Springdale-Rogers, AR-MO",22220,2024,274,226,47,1,0,0,0,101,54,43,0,0,219,55,0,"Fayetteville-Springdale-Rogers, AR Metro Area",77979,0.4708,60554,10578,88409,273400,559655,209515,563436,22220,22220
"Flagstaff, AZ",22380,2024,273,172,96,5,0,0,0,136,77,47,0,0,273,0,0,"Flagstaff, AZ Metro Area",69748,0.4783,23485,4867,16519,413200,144005,53642,144643,22380,22380
"Flint, MI",22420,2024,274,197,76,1,0,0,0,119,61,43,0,0,150,124,0,"Flint, MI Metro Area",60673,0.4638,63645,15690,75914,172900,401670,166375,404087,22420,22420
"Florence, SC",22500,2024,273,165,108,0,0,0,0,100,61,47,0,0,96,177,0,"Florence, SC Metro Area",53874,0.4901,36983,4867,41206,158800,196948,77596,199675,22500,22500
"Fond du Lac, WI",22540,2024,98,92,6,0,0,0,0,67,49,40,0,0,98,0,0,"Fond du Lac, WI Metro Area",73154,0.404,8792,1690,24192,209800,102356,43016,104053,22540,22540
"Fort Collins, CO",22660,2024,274,124,127,21,2,0,0,161,93,54,0,0,214,60,0,"Fort Collins-Loveland, CO Metro Area",91364,0.4522,39240,9240,33895,532200,360991,151571,363561,22660,22660
"Fort Payne, AL",22840,2024,244,182,62,0,0,0,0,87,58,44,0,0,170,74,0,"Fort Payne, AL Micro Area",51149,0.4417,14405,1359,13260,135500,71091,25946,71946,22840,22840
"Fort Smith, AR-OK",22900,2024,211,133,78,0,0,0,0,97,59,45,0,0,43,168,0,"Fort Smith, AR-OK Metro Area",56717,0.4779,38524,5702,41506,160100,226057,90129,228916,22900,22900
"Fort Wayne, IN",23060,2024,274,162,112,0,0,0,0,100,66,47,0,0,152,122,0,"Fort Wayne, IN Metro Area",69378,0.4388,52233,10340,76272,194000,446859,179472,451440,23060,23060
"Fresno, CA",23420,2024,244,73,131,33,7,0,0,169,115,61,0,0,162,80,2,"Fresno, CA Metro Area",71897,0.4725,215904,46936,146030,363300,1152454,366676,1170942,23420,23420
"Gadsden, AL",23460,2024,212,125,87,0,0,0,0,93,61,47,0,0,57,155,0,"Gadsden, AL Metro Area",53070,0.4765,17401,2911,19627,160600,102115,39160,103208,23460,23460
"Gainesville, FL",23540,2024,182,155,27,0,0,0,0,94,52,41,0,0,102,80,0,"Gainesville, FL Metro Area",58946,0.5153,61500,7069,43276,245800,340746,137665,344521,23540,23540
"Gainesville, GA",23580,2024,273,121,152,0,0,0,0,100,69,52,0,0,0,273,0,"Gainesville, GA Metro Area",77430,0.4493,26231,4083,32255,313600,206946,71263,208395,23580,23580
"Gardnerville Ranchos, NV",23820,2024,162,153,9,0,0,0,0,76,40,22,0,0,0,162,0,"Gardnerville Ranchos, NV-CA Micro Area",88659,0.4742,4301,738,8022,584700,51161,21569,51319,23820,23820
"Gettysburg, PA",23900,2024,245,144,98,3,0,0,0,131,69,46,3,0,171,71,0,"Gettysburg, PA Metro Area",81071,0.3978,8439,1685,26377,256100,104130,40411,105183,23900,23900
"Gillette, WY",23940,2024,211,150,60,1,0,0,0,103,61,43,0,0,122,33,56,"Gillette, WY Micro Area",95253,0.3918,4210,852,8623,266400,46416,17879,47018,23940,23940
"Grand Island, NE",24260,2024,266,193,73,0,0,0,0,80,57,36,0,0,0,266,0,"Grand Island, NE Metro Area",67397,0.4471,8222,1205,14503,201600,75796,30110,76619,24260,24260
"Grand Junction, CO",24300,2024,273,222,51,0,0,0,0,90,58,42,0,0,198,71,4,"Grand Junction, CO Metro Area",71485,0.4446,17123,4022,26000,349400,155993,64559,157316,24300,24300
"Grand Rapids-Wyoming, MI",24340,2024,275,130,144,1,0,0,0,112,68,51,1,1,92,181,0,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",80296,0.4377,112037,25124,177276,261600,1141529,436435,1154320,24340,24340
"Grants Pass, OR",24420,2024,274,235,39,0,0,0,0,97,53,27,0,0,0,274,0,"Grants Pass, OR Metro Area",59097,0.4747,13713,2821,15845,383100,87322,36336,88069,24420,24420
"Great Falls, MT",24500,2024,87,52,35,0,0,0,0,74,58,46,0,0,0,87,0,"Great Falls, MT Metro Area",66203,0.4435,10839,1195,14916,243300,80589,34909,84601,24500,24500
"Greeley, CO",24540,2024,274,118,138,16,2,0,0,164,90,52,0,0,192,82,0,"Greeley, CO Metro Area",93287,0.4199,30256,8676,44432,444500,338632,120019,340711,24540,24540
"Green Bay, WI",24580,2024,182,148,34,0,0,0,0,86,61,39,0,0,93,89,0,"Green Bay, WI Metro Area",77459,0.4271,30578,4709,62635,238700,326347,135165,329375,24580,24580
"Greenfield Town, MA",24640,2024,248,197,51,0,0,0,0,93,57,38,0,0,165,83,0,"Greenfield, MA Micro Area",72584,0.4352,8508,2366,12816,303400,70301,31498,70922,24640,24640
"Greensboro-High Point, NC",24660,2024,274,198,75,1,0,0,0,122,64,44,0,0,179,85,10,"Greensboro-High Point, NC Metro Area",63083,0.4688,115399,18534,116183,207600,773082,311795,779894,24660,24660
"Greenville, NC",24780,2024,274,245,29,0,0,0,0,74,52,38,0,0,187,87,0,"Greenville, NC Metro Area",58851,0.4799,32225,6614,21818,194300,170503,73404,172279,24780,24780
"Greenville-Anderson-Mauldin, SC",24860,2024,271,158,112,1,0,0,0,115,67,48,0,1,144,126,0,"Greenville-Anderson-Greer, SC Metro Area",69016,0.4738,120212,20538,137444,242700,936904,375603,945301,24860,24860
"Guayama, PR",25020,2024,27,26,1,0,0,0,0,53,29,14,0,0,0,0,27,"Guayama, PR Metro Area",20430,0.534,32390,1671,15079,97900,65052,27341,67171,25020,25020
"Gulfport-Biloxi-Pascagoula, MS",25060,2024,274,168,103,3,0,0,0,115,64,47,0,0,120,154,0,"Gulfport-Biloxi, MS Metro Area",61266,0.46,65063,14101,63110,192000,407486,164768,418452,25060,25060
"Hagerstown-Martinsburg, MD-WV",25180,2024,305,230,75,0,0,0,0,97,61,43,0,0,224,81,0,"Hagerstown-Martinsburg, MD-WV Metro Area",75473,0.4244,34417,7099,65124,258300,290355,116006,298525,25180,25180
"Hailey, ID",25200,2024,176,176,0,0,0,0,0,44,22,12,0,0,0,176,0,"Hailey, ID Micro Area",81389,0.4743,2385,515,4494,544300,30850,11997,31010,25200,25200
"Hammond, LA",25220,2024,65,33,32,0,0,0,0,77,62,50,0,0,0,65,0,"Hammond, LA Metro Area",57256,0.4781,25465,3279,24781,204600,133983,50191,135218,25220,25220
"Hanford-Corcoran, CA",25260,2024,182,86,92,3,1,0,0,156,82,52,0,0,97,80,5,"Hanford-Corcoran, CA Metro Area",68750,0.4211,23427,5787,23169,305700,135709,43736,152830,25260,25260
"Harrisburg-Carlisle, PA",25420,2024,182,108,72,2,0,0,0,105,71,46,0,0,92,90,0,"Harrisburg-Carlisle, PA Metro Area",79281,0.4395,57862,11920,119320,239100,587876,243182,597894,25420,25420
"Harrison, AR",25460,2024,274,262,12,0,0,0,0,79,48,39,0,0,269,5,0,"Harrison, AR Micro Area",53775,0.4349,5963,794,9436,170600,44623,18281,45071,25460,25460
"Harrisonburg, VA",25500,2024,274,207,67,0,0,0,0,83,56,44,0,8,139,127,0,"Harrisonburg, VA Metro Area",72145,0.445,19200,3077,22691,284800,135096,49379,136231,25500,25500
"Hartford-West Hartford-East Hartford, CT",25540,2024,182,140,35,6,1,0,0,185,63,41,0,7,132,43,0,"Hartford-West Hartford-East Hartford, CT Metro Area",92823,0.4671,108171,31384,176313,309300,1129007,462710,1144012,25540,25540
"Hattiesburg, MS",25620,2024,271,174,97,0,0,0,0,76,59,43,0,0,0,271,0,"Hattiesburg, MS Metro Area",59008,0.4848,28252,4369,23566,182400,152535,59327,154567,25620,25620
"Heber, UT",25720,2024,92,79,12,1,0,0,0,108,54,42,0,0,87,5,0,"Heber, UT Micro Area",125583,0.4934,3762,925,7494,838100,78198,26462,78517,25720,25720
"Helena, MT",25740,2024,183,130,52,1,0,0,0,116,64,44,1,0,122,60,0,"Helena, MT Metro Area",74040,0.4408,7758,1633,13061,363400,91175,38433,92391,25740,25740
"Hermiston-Pendleton, OR",25840,2024,182,157,25,0,0,0,0,86,54,33,0,0,62,120,0,"Hermiston-Pendleton, OR Micro Area",69037,0.422,11336,2114,15170,250800,88723,32516,92336,25840,25840
"Hickory-Lenoir-Morganton, NC",25860,2024,274,198,76,0,0,0,0,93,58,44,0,0,167,107,0,"Hickory-Lenoir-Morganton, NC Metro Area",60255,0.4512,49993,8115,67405,193400,360751,147735,366972,25860,25860
"Hilo, HI",25900,2024,241,237,4,0,0,0,0,57,29,20,0,0,0,241,0,"Hilo-Kailua, HI Micro Area",77215,0.4761,29257,5842,38863,486400,202126,72958,203684,25900,25900
"Hobbs, NM",26020,2024,180,126,54,0,0,0,0,93,71,44,0,0,146,34,0,"Hobbs, NM Micro Area",68750,0.4864,13178,2333,11487,176000,71479,24568,73154,26020,26020
"Holland, MI",26090,2024,274,163,106,4,1,0,0,154,71,48,0,0,128,146,0,"Holland, MI Micro Area",80255,0.4144,11186,1791,26262,247000,120031,44984,120913,26090,26090
"Homosassa Springs, FL",26140,2024,182,126,55,0,0,1,0,272,56,44,0,0,0,182,0,"Homosassa Springs, FL Metro Area",55355,0.4833,24124,3748,39592,223200,156348,69701,158693,26140,26140
"Hot Springs, AR",26300,2024,77,40,37,0,0,0,0,97,62,50,0,0,0,77,0,"Hot Springs, AR Metro Area",55409,0.4601,16237,2656,18695,176400,99001,43762,100062,26300,26300
"Houghton, MI",26340,2024,20,20,0,0,0,0,0,49,38,12,0,0,0,20,0,"Houghton, MI Micro Area",56403,0.4702,5509,1060,6167,144900,39042,15341,39534,26340,26340
"Houma-Thibodaux, LA",26380,2024,301,154,147,0,0,0,0,99,61,50,0,0,63,238,0,"Houma-Bayou Cane-Thibodaux, LA Metro Area",64269,0.468,34338,4713,43076,189900,201779,79238,204032,26380,26380
"Houston-The Woodlands-Sugar Land, TX",26420,2024,183,24,139,14,5,1,0,201,101,61,1,3,54,115,10,"Houston-Pasadena-The Woodlands, TX Metro Area",80458,0.4829,976498,221170,883829,275200,7215722,2601888,7274714,26420,26420
"Huntington-Ashland, WV-KY-OH",26580,2024,274,181,93,0,0,0,0,84,61,44,0,1,145,127,1,"Huntington-Ashland, WV-KY-OH Metro Area",58483,0.4724,61643,7926,80142,149000,366958,150091,372801,26580,26580
"Huntsville, AL",26620,2024,181,124,57,0,0,0,0,89,58,44,0,0,76,105,0,"Huntsville, AL Metro Area",83529,0.4586,50962,9733,58410,265000,496798,202490,504712,26620,26620
"Idaho Falls, ID",26820,2024,238,186,52,0,0,0,0,97,64,44,0,0,229,9,0,"Idaho Falls, ID Metro Area",77300,0.4203,15450,2747,19747,325000,160321,54294,161944,26820,26820
"Indiana, PA",26860,2024,178,153,25,0,0,0,0,87,56,38,0,0,113,65,0,"Indiana, PA Micro Area",58739,0.4476,9985,2603,19652,145400,81777,32291,83213,26860,26860
"Indianapolis-Carmel-Anderson, IN",26900,2024,305,126,176,3,0,0,0,116,75,53,0,0,129,176,0,"Indianapolis-Carmel-Greenwood, IN Metro Area",77065,0.4642,217654,45535,316689,244000,2080563,829040,2106327,26900,26900
"Iowa City, IA",26980,2024,305,217,88,0,0,0,0,83,57,38,0,0,0,305,0,"Iowa City, IA Metro Area",74142,0.4941,26484,3561,17295,280400,175264,71262,177420,26980,26980
"Ithaca, NY",27060,2024,240,232,8,0,0,0,0,71,47,36,0,0,240,0,0,"Ithaca, NY Metro Area",73012,0.4928,13547,2778,7839,271500,102175,43269,102879,27060,27060
"Jackson, MS",27140,2024,275,159,116,0,0,0,0,96,64,48,1,0,109,165,0,"Jackson, MS Metro Area",60489,0.4901,103026,17171,80393,188500,601280,236483,615908,27140,27140
"Jackson, TN",27180,2024,178,146,32,0,0,0,0,66,53,31,0,0,0,178,0,"Jackson, TN Metro Area",58740,0.4547,28837,5367,38438,168600,178079,71459,180844,27180,27180
"Jackson, WY-ID",27220,2024,244,158,85,1,0,0,0,105,67,47,0,0,208,33,3,"Jackson, WY-ID Micro Area",106679,0.503,2769,479,3890,954600,35364,13956,35459,27220,27220
"Jacksonville, FL",27260,2024,274,135,139,0,0,0,0,97,64,51,0,1,79,193,1,"Jacksonville, FL Metro Area",77013,0.4648,195281,34959,250764,308900,1610602,642847,1645707,27260,27260
"Jamestown-Dunkirk-Fredonia, NY",27460,2024,273,241,31,1,0,0,0,105,54,38,0,0,266,7,0,"Jamestown-Dunkirk, NY Micro Area",56507,0.4457,20703,3155,23960,119300,124637,53602,126329,27460,27460
"Janesville-Beloit, WI",27500,2024,98,80,18,0,0,0,0,77,58,43,0,0,98,0,0,"Janesville-Beloit, WI Metro Area",74390,0.404,16058,3382,32923,215900,162892,66652,163944,27500,27500
"Jasper, IN",27540,2024,274,186,88,0,0,0,0,70,59,41,0,0,0,273,1,"Jasper, IN Micro Area",71918,0.4122,4055,480,9914,212500,42867,17588,43563,27540,27540
"Jefferson City, MO",27620,2024,128,121,7,0,0,0,0,64,50,41,0,0,128,0,0,"Jefferson City, MO Metro Area",72425,0.4283,14233,2626,28094,203900,142838,57896,150147,27620,27620
"Johnstown, PA",27780,2024,244,205,39,0,0,0,0,87,55,35,64,0,104,76,0,"Johnstown, PA Metro Area",56292,0.4674,17864,2828,38307,115900,129529,55692,132355,27780,27780
"Joplin, MO",27900,2024,178,148,30,0,0,0,0,99,54,42,0,0,110,0,68,"Joplin, MO-KS Metro Area",60146,0.4491,32515,4164,38512,157000,200620,78178,202258,27900,27900
"Juneau, AK",27940,2024,175,150,25,0,0,0,0,73,54,24,0,0,0,175,0,"Juneau, AK Micro Area",100513,0.4157,2565,692,3811,432500,31233,13138,31969,27940,27940
"Kahului-Wailuku-Lahaina, HI",27980,2024,182,181,0,1,0,0,0,101,38,24,0,0,0,182,0,"Kahului-Wailuku, HI Metro Area",95049,0.4541,15982,4760,32299,858600,163088,55507,164675,27980,27980
"Kalamazoo-Portage, MI",28020,2024,182,115,67,0,0,0,0,100,64,45,0,0,82,100,0,"Kalamazoo-Portage, MI Metro Area",70525,0.4679,33669,7887,32287,227500,259424,106251,261437,28020,28020
"Kalispell, MT",28060,2024,241,207,34,0,0,0,0,77,53,39,0,0,177,53,11,"Kalispell, MT Micro Area",71327,0.4495,10268,1668,17558,467700,107555,43568,108445,28060,28060
"Kansas City, MO-KS",28140,2024,182,70,107,5,0,0,0,126,77,54,0,4,74,82,22,"Kansas City, MO-KS Metro Area",81927,0.4507,217501,47777,322952,265400,2176523,882252,2202006,28140,28140
"Keene, NH",28300,2024,182,152,30,0,0,0,0,93,55,38,0,0,132,50,0,"Keene, NH Micro Area",81001,0.4201,6529,1325,15065,257200,76273,30519,76945,28300,28300
"Kennewick-Richland, WA",28420,2024,213,174,37,2,0,0,0,108,58,36,0,0,81,105,27,"Kennewick-Richland, WA Metro Area",85881,0.4313,35422,7508,36395,362200,304428,105814,307900,28420,28420
"Killeen-Temple, TX",28660,2024,182,110,69,3,0,0,0,112,67,46,0,0,101,81,0,"Killeen-Temple, TX Metro Area",67203,0.4495,62607,14413,64815,215000,440791,172803,485850,28660,28660
"Kingsport-Bristol-Bristol, TN-VA",28700,2024,209,154,55,0,0,0,0,84,58,43,0,0,98,111,0,"Kingsport-Bristol, TN-VA Metro Area",55948,0.4737,45755,8056,63932,182500,305540,129894,309580,28700,28700
"Kingsville, TX",28780,2024,169,77,88,4,0,0,0,121,81,52,0,0,0,169,0,"Kingsville, TX Micro Area",57612,0.4504,8329,1093,4270,152200,29977,11794,30629,28780,28780
"Kinston, NC",28820,2024,274,261,13,0,0,0,0,77,47,34,0,0,214,0,60,"Kinston, NC Micro Area",44795,0.4669,12100,1768,10021,111400,53955,22930,54917,28820,28820
"Klamath Falls, OR",28900,2024,274,217,48,7,2,0,0,164,62,31,0,0,0,274,0,"Klamath Falls, OR Micro Area",59353,0.4775,12598,2276,13238,255700,68858,28840,69812,28900,28900
"Knoxville, TN",28940,2024,305,137,167,1,0,0,0,105,67,51,0,0,129,176,0,"Knoxville, TN Metro Area",69734,0.4691,113223,17675,160975,255300,909978,371027,919553,28940,28940
"Kokomo, IN",29020,2024,274,168,106,0,0,0,0,93,64,46,0,0,164,110,0,"Kokomo, IN Metro Area",62496,0.4306,10292,2259,18612,151500,82460,35129,83610,29020,29020
"La Crosse-Onalaska, WI-MN",29100,2024,98,90,8,0,0,0,0,67,49,41,0,0,98,0,0,"La Crosse-Onalaska, WI-MN Metro Area",71009,0.4458,20027,2605,27483,235300,168402,70803,169945,29100,29100
"La Grande, OR",29260,2024,182,179,3,0,0,0,0,63,36,18,0,0,0,181,1,"La Grande, OR Micro Area",64212,0.4495,4065,688,4850,260500,25985,10856,26192,29260,29260
"Laconia, NH",29060,2024,182,171,11,0,0,0,0,74,48,36,0,0,115,67,0,"Laconia, NH Micro Area",87983,0.4492,5546,854,12123,340000,63459,26118,64300,29060,29060
"Lafayette, LA",29180,2024,305,133,169,3,0,0,0,108,64,52,0,0,99,206,0,"Lafayette, LA Metro Area",60910,0.4904,74988,10686,82091,206900,406828,162763,410883,29180,29180
"Lafayette-West Lafayette, IN",29200,2024,305,194,111,0,0,0,0,90,61,45,0,0,187,118,0,"Lafayette-West Lafayette, IN Metro Area",59895,0.4662,36297,3444,34145,204300,223093,89267,225019,29200,29200
"Lake Charles, LA",29340,2024,305,154,147,4,0,0,0,147,65,50,0,0,106,199,0,"Lake Charles, LA Metro Area",67010,0.4779,42556,6046,48601,198900,243579,90733,245973,29340,29340
"Lake City, FL",29380,2024,182,110,72,0,0,0,0,93,60,47,0,0,63,119,0,"Lake City, FL Micro Area",55070,0.456,11237,1892,13519,186400,66425,26720,70755,29380,29380
"Lake Havasu City-Kingman, AZ",29420,2024,268,264,4,0,0,0,0,69,30,19,0,0,0,0,268,"Lake Havasu City-Kingman, AZ Metro Area",55799,0.4653,35787,5662,47249,253200,213572,96899,217420,29420,29420
"Lakeland-Winter Haven, FL",29460,2024,182,118,63,1,0,0,0,105,58,46,0,0,95,87,0,"Lakeland-Winter Haven, FL Metro Area",63644,0.448,109496,15310,146907,240000,752294,276643,760961,29460,29460
"Lancaster, PA",29540,2024,182,93,86,3,0,0,0,125,72,50,0,0,83,99,0,"Lancaster, PA Metro Area",83703,0.4303,47050,9560,112009,279400,548738,210536,555151,29540,29540
"Lansing-East Lansing, MI",29620,2024,274,229,45,0,0,0,0,85,55,40,0,1,211,62,0,"Lansing-East Lansing, MI Metro Area",70886,0.452,59001,13570,62712,205400,467382,192995,470434,29620,29620
"Laramie, WY",29660,2024,240,117,110,12,1,0,0,187,87,51,0,0,204,5,31,"Laramie, WY Micro Area",59881,0.4861,7328,952,2420,322100,37490,16609,37713,29660,29660
"Laredo, TX",29700,2024,183,81,91,11,0,0,0,129,88,52,1,0,64,117,1,"Laredo, TX Metro Area",62506,0.4565,55716,6638,28036,178900,266040,79572,267731,29700,29700
"Las Cruces, NM",29740,2024,182,62,104,8,2,2,4,692,97,58,0,2,92,56,32,"Las Cruces, NM Metro Area",55663,0.4781,47947,6941,25748,205400,218466,83530,221665,29740,29740
"Las Vegas-Henderson-Paradise, NV",29820,2024,275,68,169,37,1,0,0,170,105,67,1,0,224,41,9,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",73845,0.4697,299896,86020,375989,400800,2268910,847378,2293764,29820,29820
"Lawrenceburg, TN",29980,2024,176,126,50,0,0,0,0,80,57,39,0,0,0,176,0,"Lawrenceburg, TN Micro Area",53233,0.4429,6748,1144,9961,176700,44404,16704,44901,29980,29980
"Lawton, OK",30020,2024,270,175,90,5,0,0,0,133,77,44,0,0,147,123,0,"Lawton, OK Metro Area",59060,0.4455,21087,3408,22270,151500,112998,46769,127174,30020,30020
"Lebanon, PA",30140,2024,182,120,60,2,0,0,0,108,65,43,0,0,94,88,0,"Lebanon, PA Metro Area",76350,0.4248,14793,2969,36052,227300,141459,55846,143592,30140,30140
"Lewiston, ID-WA",30300,2024,272,183,83,2,4,0,0,196,70,35,0,0,0,272,0,"Lewiston, ID-WA Metro Area",70694,0.4564,8699,1193,11140,289400,63863,26688,64901,30300,30300
"Lewiston-Auburn, ME",30340,2024,305,281,24,0,0,0,0,77,48,33,0,0,171,132,2,"Lewiston-Auburn, ME Metro Area",67298,0.428,14060,2493,22621,232000,110713,46632,112323,30340,30340
"Lexington-Fayette, KY",30460,2024,187,152,35,0,0,0,0,93,54,42,0,3,100,79,5,"Lexington-Fayette, KY Metro Area",70717,0.4813,69955,12697,64269,258900,511395,213372,517378,30460,30460
"Lima, OH",30620,2024,274,200,74,0,0,0,0,97,61,43,0,0,171,103,0,"Lima, OH Metro Area",62001,0.4342,12815,2865,23921,158400,99436,40928,101685,30620,30620
"Lincoln, NE",30700,2024,152,125,27,0,0,0,0,67,56,43,0,0,111,41,0,"Lincoln, NE Metro Area",73095,0.457,37396,5862,37001,257500,336273,138807,341309,30700,30700
"Little Rock-North Little Rock-Conway, AR",30780,2024,275,104,167,3,0,1,0,205,74,53,1,0,56,218,0,"Little Rock-North Little Rock-Conway, AR Metro Area",65309,0.4784,104810,16127,123567,199300,740763,306520,753605,30780,30780
"Logan, UT-ID",30860,2024,274,172,99,2,1,0,0,161,75,46,0,0,197,77,0,"Logan, UT-ID Metro Area",77520,0.4309,18603,1805,16279,386700,150949,47988,151746,30860,30860
"Longview, TX",30980,2024,180,166,13,1,0,0,0,129,50,37,0,7,173,0,0,"Longview, TX Metro Area",65210,0.4659,44541,5859,47542,178200,280554,106264,288921,30980,30980
"Longview, WA",31020,2024,213,207,6,0,0,0,0,67,34,20,0,0,0,213,0,"Longview-Kelso, WA Metro Area",72932,0.4351,14294,2538,19330,367400,110785,43409,111539,31020,31020
"Los Alamos, NM",31060,2024,20,20,0,0,0,0,0,16,14,9,0,0,0,20,0,"Los Alamos, NM Micro Area",143188,0.3732,564,228,1226,452500,19220,8211,19374,31060,31060
"Los Angeles-Long Beach-Anaheim, CA",31080,2024,245,36,124,45,34,6,0,230,164,75,1,1,149,91,3,"Los Angeles-Long Beach-Anaheim, CA Metro Area",93525,0.4912,1618969,455764,1599621,825300,12927338,4464908,13012469,31080,31080
"Louisville/Jefferson County, KY-IN",31140,2024,295,156,133,5,1,0,0,156,71,49,0,3,154,138,0,"Louisville/Jefferson County, KY-IN Metro Area",71737,0.4616,163772,30657,228147,236400,1343417,550423,1361847,31140,31140
"Lubbock, TX",31180,2024,175,162,13,0,0,0,0,91,43,19,0,0,0,175,0,"Lubbock, TX Metro Area",62288,0.4816,57939,8569,45716,188700,348623,138525,354782,31180,31180
"Ludington, MI",31220,2024,213,191,22,0,0,0,0,97,51,37,0,0,213,0,0,"Ludington, MI Micro Area",62296,0.4324,4214,605,6246,199300,28930,12426,29177,31220,31220
"Lynchburg, VA",31340,2024,90,75,15,0,0,0,0,61,53,29,0,0,0,90,0,"Lynchburg, VA Metro Area",67782,0.4436,29183,5384,45017,224600,259412,102730,262716,31340,31340
"Macon, GA",31420,2024,274,136,136,2,0,0,0,123,66,51,0,0,40,234,0,"Macon-Bibb County, GA Metro Area",58127,0.5057,47052,6631,43494,172300,228872,88114,234040,31420,31420
"Madison, WI",31540,2024,182,132,50,0,0,0,0,77,58,43,0,0,73,100,9,"Madison, WI Metro Area",86827,0.445,66580,10022,82395,344600,678359,295527,683967,31540,31540
