CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Core Base Stastical Area,Median Household Income,Income Inequality (Gini),Number of People in Poverty,Number of Unemployed People,Number of People With Educational Attainment (HS+),Housing Affordability (Median Home Value),Number of People with Health Insurance Coverage,Number of People With Internet Access,Final Total Population,metropolitan statistical area/micropolitan statistical area,CBSA_Code
"Baltimore-Columbia-Towson, MD",12580,2024,305,184,110,10,1,0,0,154,80,46,0,2,220,83,0,"Baltimore-Columbia-Towson, MD Metro Area",97300,0.461,274570,70197,403649,373300,2796834,1107822,2839409,12580,12580
"Bangor, ME",12620,2024,271,245,26,0,0,0,0,74,49,35,0,0,185,83,3,"Bangor, ME Metro Area",63248,0.4541,19846,3175,30108,193800,151601,64769,153571,12620,12620
"Baraboo, WI",12660,2024,182,157,25,0,0,0,0,66,53,38,0,0,89,93,0,"Baraboo, WI Micro Area",77648,0.4094,5690,929,13250,242400,65188,27425,65759,12660,12660
"Barnstable Town, MA",12700,2024,235,217,17,1,0,0,0,101,48,38,0,0,233,2,0,"Barnstable Town, MA Metro Area",94452,0.4749,16909,5492,34378,575900,227536,102981,230073,12700,12700
"Bartlesville, OK",12780,2024,243,132,105,5,1,0,0,156,72,49,0,0,145,98,0,"Bartlesville, OK Micro Area",61205,0.4709,7541,924,9940,160900,52352,20596,52895,12780,12780
"Baton Rouge, LA",12940,2024,305,109,182,12,2,0,0,159,87,54,0,0,114,191,0,"Baton Rouge, LA Metro Area",68910,0.477,135250,28116,146974,232300,854894,326145,871379,12940,12940
"Bay City, MI",13020,2024,271,203,68,0,0,0,0,73,56,39,0,0,0,271,0,"Bay City, MI Metro Area",60523,0.4352,14358,2304,22647,135100,102477,44917,103235,13020,13020
"Beatrice, NE",13100,2024,249,176,73,0,0,0,0,70,57,37,0,0,0,249,0,"Beatrice, NE Micro Area",64426,0.4306,2806,162,4762,167100,21384,9162,21646,13100,13100
"Beaumont-Port Arthur, TX",13140,2024,182,77,101,4,0,0,0,143,67,52,0,0,54,128,0,"Beaumont-Port Arthur, TX Metro Area",65245,0.4626,62376,9982,76067,164300,381303,147243,396058,13140,13140
"Beaver Dam, WI",13180,2024,183,153,30,0,0,0,0,84,53,39,1,0,145,37,0,"Beaver Dam, WI Micro Area",73992,0.3847,6621,1881,23044,218400,84766,35723,88818,13180,13180
"Bellingham, WA",13380,2024,208,204,4,0,0,0,0,61,44,32,0,0,69,139,0,"Bellingham, WA Metro Area",80989,0.4524,28364,6050,28320,536100,226816,92411,228432,13380,13380
"Bemidji, MN",13420,2024,182,172,9,0,1,0,0,177,46,36,0,0,114,68,0,"Bemidji, MN Micro Area",67257,0.4409,7084,1176,6247,222300,45774,17908,46421,13420,13420
"Bend-Redmond, OR",13460,2024,267,201,53,7,6,0,0,176,75,36,0,0,51,216,0,"Bend, OR Metro Area",85509,0.4573,24079,6481,32927,550400,251834,102503,253650,13460,13460
"Bennington, VT",13540,2024,182,169,13,0,0,0,0,80,48,38,0,0,156,26,0,"Bennington, VT Micro Area",71494,0.4968,4128,778,6419,257400,36698,14636,37312,13540,13540
"Billings, MT",13740,2024,175,158,17,0,0,0,0,64,50,38,0,4,125,46,0,"Billings, MT Metro Area",74599,0.4588,18386,3439,31998,322700,184927,77857,187269,13740,13740
"Birmingham-Hoover, AL",13820,2024,175,157,18,0,0,0,0,97,51,39,0,0,153,22,0,"Birmingham, AL Metro Area",69627,0.4868,162162,25868,188098,226200,1166828,460747,1181432,13820,13820
"Bishop, CA",13860,2024,272,93,162,10,2,1,4,1322,88,59,0,0,159,57,56,"Bishop, CA Micro Area",72432,0.439,1928,240,3066,338400,18442,7923,18803,13860,13860
"Bismarck, ND",13900,2024,275,189,75,9,2,0,0,174,68,43,1,1,156,113,4,"Bismarck, ND Metro Area",83982,0.4415,10184,1856,18326,295500,131397,54617,134286,13900,13900
"Blacksburg-Christiansburg-Radford, VA",13980,2024,233,210,23,0,0,0,0,80,50,41,0,0,233,0,0,"Blacksburg-Christiansburg-Radford, VA Metro Area",64627,0.4841,33063,3283,28101,228400,179402,70035,181605,13980,13980
"Bloomington, IL",14010,2024,274,186,87,1,0,0,0,112,61,44,0,0,160,114,0,"Bloomington, IL Metro Area",78329,0.4769,21011,2691,20725,198300,169850,69072,170882,14010,14010
"Bloomington, IN",14020,2024,274,191,83,0,0,0,0,97,58,43,0,0,149,125,0,"Bloomington, IN Metro Area",62949,0.4827,27760,4575,19353,242800,159951,66862,161256,14020,14020
"Boise City, ID",14260,2024,183,115,63,3,2,0,0,157,64,47,1,3,101,76,2,"Boise City, ID Metro Area",82694,0.4419,70631,12839,99736,434400,779123,294742,790640,14260,14260
"Boston-Cambridge-Newton, MA-NH",14460,2024,255,182,72,1,0,0,0,122,65,44,1,2,158,92,2,"Boston-Cambridge-Newton, MA-NH Metro Area",112484,0.4836,424129,135677,638160,610900,4875040,1925474,4917661,14460,14460
"Boulder, CO",14500,2024,274,165,99,9,1,0,0,154,80,48,0,0,169,95,10,"Boulder, CO Metro Area",102772,0.4898,36145,8593,20037,713900,326101,135230,328317,14500,14500
"Bowling Green, KY",14540,2024,243,198,45,0,0,0,0,87,55,42,0,0,175,68,0,"Bowling Green, KY Metro Area",62437,0.4726,29478,4594,29818,219400,181539,71576,183194,14540,14540
"Bozeman, MT",14580,2024,245,212,33,0,0,0,0,84,55,22,10,8,0,227,0,"Bozeman, MT Metro Area",87454,0.4724,12025,1689,12466,604900,121704,50031,122194,14580,14580
"Brainerd, MN",14660,2024,182,158,23,0,1,0,0,164,54,38,0,0,115,67,0,"Brainerd, MN Micro Area",69311,0.4322,10251,2535,18212,270500,96731,41546,97801,14660,14660
"Branson, MO",14700,2024,20,17,3,0,0,0,0,67,53,20,0,0,0,20,0,"Branson, MO Micro Area",58258,0.465,7870,1228,10469,203800,55949,22145,56382,14700,14700
"Bremerton-Silverdale, WA",14740,2024,200,196,4,0,0,0,0,69,36,18,0,0,0,200,0,"Bremerton-Silverdale-Port Orchard, WA Metro Area",98546,0.4306,22299,6125,34693,505700,261537,107264,276581,14740,14740
"Bridgeport-Stamford-Norwalk, CT",14860,2024,182,132,39,8,3,0,0,154,71,42,0,11,107,64,0,"Bridgeport-Stamford-Danbury, CT Metro Area",111656,0.5442,87468,31665,116735,530800,941099,350614,947528,14860,14860
"Brookings, SD",15100,2024,182,168,14,0,0,0,0,94,46,32,0,0,139,30,13,"Brookings, SD Micro Area",67341,0.4122,4078,714,3956,246300,34733,13490,34968,15100,15100
"Brownsville-Harlingen, TX",15180,2024,182,32,94,44,12,0,0,171,138,72,0,0,26,156,0,"Brownsville-Harlingen, TX Metro Area",51334,0.469,102583,10484,54013,120000,421086,135435,423192,15180,15180
"Brunswick, GA",15260,2024,274,225,49,0,0,0,0,84,55,38,0,0,98,176,0,"Brunswick-St. Simons, GA Metro Area",64819,0.4982,19197,2129,20365,221400,113147,46237,114345,15260,15260
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,2024,304,206,97,1,0,0,0,105,61,43,0,5,147,151,1,"Buffalo-Cheektowaga, NY Metro Area",70572,0.4615,157023,29977,185359,209600,1151962,500204,1161385,15380,15380
"Burlington-South Burlington, VT",15540,2024,183,163,20,0,0,0,0,84,52,39,1,0,144,38,0,"Burlington-South Burlington, VT Metro Area",90911,0.4418,22197,4569,30863,370400,224720,93126,226603,15540,15540
"Butte-Silver Bow, MT",15580,2024,182,150,32,0,0,0,0,95,56,26,0,0,0,167,15,"Butte-Silver Bow, MT Micro Area",57504,0.4847,5584,725,6191,223500,34863,15347,35589,15580,15580
"Cadillac, MI",15620,2024,274,242,32,0,0,0,0,84,52,38,0,0,241,33,0,"Cadillac, MI Micro Area",62833,0.4354,5919,1359,10869,161400,48538,19178,49024,15620,15620
"Cambridge, MD",15700,2024,274,219,55,0,0,0,0,84,56,40,0,0,200,74,0,"Cambridge, MD Micro Area",60495,0.4656,5225,746,8394,252300,32283,13324,32612,15700,15700
"Canton-Massillon, OH",15940,2024,275,144,131,0,0,0,0,93,67,49,0,0,111,164,0,"Canton-Massillon, OH Metro Area",65666,0.4404,49827,7715,96190,177400,395912,166842,400495,15940,15940
"Cape Coral-Fort Myers, FL",15980,2024,182,161,21,0,0,0,0,80,54,38,0,0,182,0,0,"Cape Coral-Fort Myers, FL Metro Area",73099,0.4761,91539,14873,156721,326300,787302,319588,792692,15980,15980
"Carlsbad-Artesia, NM",16100,2024,244,108,106,27,3,0,0,172,101,54,0,0,242,2,0,"Carlsbad-Artesia, NM Micro Area",79605,0.4434,7519,1252,8683,199400,60479,23245,61114,16100,16100
"Carson City, NV",16180,2024,182,146,35,1,0,0,0,105,58,44,0,0,160,22,0,"Carson City, NV Metro Area",71809,0.4464,6183,1176,9280,426700,55787,23652,58364,16180,16180
"Casper, WY",16220,2024,182,157,25,0,0,0,0,80,54,43,0,0,179,3,0,"Casper, WY Metro Area",71247,0.4456,7620,1568,12171,260400,78809,33285,79735,16220,16220
"Ca?on City, CO",15860,2024,274,273,1,0,0,0,0,51,26,13,0,0,0,0,274,"Cañon City, CO Micro Area",61027,0.4645,5800,803,10506,282100,41484,17695,49394,15860,15860
